Spp,Label,Order,Zoonosis,ParasiteGMPD
Genetta_servalina,1,Carnivora,Trypanosomiasis - African,
Genetta_thierryi,0,Carnivora,,
Genetta_tigrina,0,Carnivora,,
Genetta_victoriae,0,Carnivora,,
Gulo_gulo,1,Carnivora,Toxoplasmosis,
Halichoerus_grypus,1,Carnivora,Anisakiasis,Anisakis simplex
Halichoerus_grypus,1,Carnivora,Campylobacteriosis,
Halichoerus_grypus,1,Carnivora,Pseudocowpox,
Halichoerus_grypus,1,Carnivora,Toxoplasmosis,
Helarctos_malayanus,0,Carnivora,,
Helogale_hirtula,0,Carnivora,,
Helogale_parvula,0,Carnivora,,
Hemigalus_derbyanus,0,Carnivora,,
Herpestes_brachyurus,1,Carnivora,Herpes B infection,
Herpestes_edwardsi,1,Carnivora,Herpes B infection,
Herpestes_fuscus,1,Carnivora,Rabies,
Herpestes_ichneumon,1,Carnivora,Leishmaniasis - visceral,
Herpestes_ichneumon,1,Carnivora,Leptospirosis,
Herpestes_ichneumon,1,Carnivora,Toxoplasmosis,
Herpestes_javanicus,1,Carnivora,Campylobacteriosis,
Herpestes_javanicus,1,Carnivora,Rabies,
Herpestes_javanicus,1,Carnivora,Salmonellosis,
Herpestes_naso,1,Carnivora,Herpes B infection,
Herpestes_semitorquatus,1,Carnivora,Herpes B infection,
Herpestes_smithii,1,Carnivora,Herpes B infection,
Herpestes_urva,1,Carnivora,Herpes B infection,
Herpestes_vitticollis,1,Carnivora,Herpes B infection,
Histriophoca_fasciata,0,Carnivora,,
Hyaena_brunnea,0,Carnivora,,
Hyaena_hyaena,1,Carnivora,Echinococcosis - multilocular,
Hyaena_hyaena,1,Carnivora,Echinococcosis - unilocular,
Hydrictis_maculicollis,0,Carnivora,,
Hydrurga_leptonyx,0,Carnivora,,
Ichneumia_albicauda,0,Carnivora,,
Ictonyx_libyca,0,Carnivora,,
Ictonyx_striatus,0,Carnivora,,
Leopardus_braccatus,0,Carnivora,,
Leopardus_colocolo,1,Carnivora,Toxoplasmosis,
Leopardus_geoffroyi,1,Carnivora,Dirofilariasis,
Leopardus_geoffroyi,1,Carnivora,Toxoplasmosis,
Leopardus_guigna,0,Carnivora,,
Leopardus_jacobitus,0,Carnivora,,
Leopardus_pajeros,0,Carnivora,,
Leopardus_pardalis,1,Carnivora,Dirofilariasis,
Leopardus_pardalis,1,Carnivora,Toxoplasmosis,
Leopardus_tigrinus,1,Carnivora,Toxoplasmosis,
Leopardus_wiedii,1,Carnivora,Dirofilariasis,
Leopardus_wiedii,1,Carnivora,Toxoplasmosis,
Leptailurus_serval,1,Carnivora,Leptospirosis,
Leptonychotes_weddellii,1,Carnivora,Toxoplasmosis,
Liberiictis_kuhni,0,Carnivora,,
Lobodon_carcinophaga,1,Carnivora,Toxoplasmosis,
Lontra_canadensis,1,Carnivora,Diphyllobothriasis,
Lontra_canadensis,1,Carnivora,Giardiasis,
Lontra_felina,0,Carnivora,,
Lontra_longicaudis,0,Carnivora,,
Lontra_provocax,0,Carnivora,,
Lutra_lutra,1,Carnivora,Diphyllobothriasis,
Lutra_lutra,1,Carnivora,Dirofilariasis,
Lutra_lutra,1,Carnivora,Metorchiasis,
Lutra_lutra,1,Carnivora,Microsporidiosis,
Lutra_lutra,1,Carnivora,Opisthorchiasis,
Lutra_lutra,1,Carnivora,Toxoplasmosis,
Lutra_nippon,0,Carnivora,,
Lutra_sumatrana,0,Carnivora,,
Lutrogale_perspicillata,0,Carnivora,,
Lycalopex_culpaeus,0,Carnivora,,
Lycalopex_fulvipes,0,Carnivora,,
Lycalopex_griseus,1,Carnivora,Leptospirosis,
Lycalopex_gymnocercus,1,Carnivora,Echinococcosis - unilocular,
Lycalopex_sechurae,0,Carnivora,,
Lycalopex_vetulus,1,Carnivora,Leishmaniasis - visceral,
Lycaon_pictus,1,Carnivora,Echinococcosis - unilocular,
Lycaon_pictus,1,Carnivora,Rabies,
Lyncodon_patagonicus,0,Carnivora,,
Lynx_canadensis,1,Carnivora,Cryptosporidiosis,
Lynx_canadensis,1,Carnivora,Giardiasis,
Lynx_canadensis,1,Carnivora,Plague,
Lynx_canadensis,1,Carnivora,Toxoplasmosis,
Lynx_lynx,1,Carnivora,Cryptosporidiosis,
Lynx_lynx,1,Carnivora,Diphyllobothriasis,
Lynx_lynx,1,Carnivora,Echinococcosis - American polycystic,
Lynx_lynx,1,Carnivora,Giardiasis,
Lynx_lynx,1,Carnivora,Leishmaniasis - visceral,
Lynx_lynx,1,Carnivora,Leptospirosis,
Lynx_lynx,1,Carnivora,Plague,
Lynx_lynx,1,Carnivora,Rabies,
Lynx_lynx,1,Carnivora,Thelaziasis,
Lynx_lynx,1,Carnivora,Toxocariasis,
Lynx_lynx,1,Carnivora,Toxoplasmosis,
Lynx_lynx,1,Carnivora,Trichinosis,
Lynx_lynx,1,Carnivora,Trypanosomiasis - American,
Lynx_lynx,1,Carnivora,Tuberculosis,
Lynx_lynx,1,Carnivora,Vaccinia and cowpox,
Lynx_pardinus,1,Carnivora,Leishmaniasis - visceral,
Lynx_pardinus,1,Carnivora,Leptospirosis,
Lynx_pardinus,1,Carnivora,Toxocariasis,
Lynx_pardinus,1,Carnivora,Toxoplasmosis,
Lynx_rufus,1,Carnivora,Cryptosporidiosis,
Lynx_rufus,1,Carnivora,Echinococcosis - American polycystic,
Lynx_rufus,1,Carnivora,Giardiasis,
Lynx_rufus,1,Carnivora,Plague,
Lynx_rufus,1,Carnivora,Rabies,
Lynx_rufus,1,Carnivora,Toxocariasis,
Lynx_rufus,1,Carnivora,Toxoplasmosis,
Lynx_rufus,1,Carnivora,Trypanosomiasis - American,
Macrogalidia_musschenbroekii,0,Carnivora,,
Martes_americana,1,Carnivora,Dioctophyma renale infection,
Martes_flavigula,0,Carnivora,,
Martes_foina,1,Carnivora,Dirofilariasis,
Martes_foina,1,Carnivora,Rabies,
Martes_foina,1,Carnivora,Thelaziasis,
Martes_foina,1,Carnivora,Toxoplasmosis,
Martes_foina,1,Carnivora,Trichinosis,
Martes_foina,1,Carnivora,Tularemia,
Martes_gwatkinsii,0,Carnivora,,
Martes_martes,1,Carnivora,Dioctophyma renale infection,
Martes_martes,1,Carnivora,Dirofilariasis,
Martes_martes,1,Carnivora,Japanese spotted fever,
Martes_martes,1,Carnivora,Leishmaniasis - visceral,
Martes_martes,1,Carnivora,Microsporidiosis,
