Bassaricyon gabbii, Trypanosomiasis - American, Panama
Bassariscus astutus, Baylisascariasis, Worldwide
Bassariscus astutus, Trypanosomiasis - American, United States
Bibimys chacoensis, Hantavirus pulmonary syndrome, Paraguay
Bison bison, Brucellosis, United States
Bison bison, Anaplasmosis, Poland
Bison bison, Hepatitis E, Poland
Bison bison, Tick-borne encephalitis, Poland
Bison bison, Toxoplasmosis, Poland
Bison bison, Leptospirosis, Poland
Bison bonasus, Tick-borne encephalitis, Poland
Bison bonasus, Toxoplasmosis, Poland
Bison bonasus, Anaplasmosis, Poland
Bison bonasus, Hepatitis E, Poland
Blarina brevicauda, Anaplasmosis, Worldwide
Blarina brevicauda, Babesiosis, Worldwide
Blarina brevicauda, Babesiosis, United States
Blarina brevicauda, Cryptosporidiosis, United States
Blastocerus dichotomus, Anaplasmosis, Brazil
Blastocerus dichotomus, Ehrlichiosis - human monocytic, Brazil
Blastocerus dichotomus, Rabies, Argentina
Bos frontalis, Toxoplasmosis, India
Bos grunniens, Anaplasmosis, China
Bos grunniens, Brucellosis, China
Bos grunniens, Brucellosis, Nepal
Bos grunniens, Cryptosporidiosis, China
Bos grunniens, Echinococcosis - unilocular, China
Bos grunniens, Microsporidiosis, China
Bos grunniens, Toxoplasmosis, China
Bos taurus, Toxoplasmosis, Brazil
Bos taurus, Giardiasis, Rwanda
Boselaphus tragocamelus, Anthrax, Pakistan
Brachyphylla cavernarum, Bartonellosis - other systemic, Puerto Rico
Brachyteles arachnoides, Toxoplasmosis, Worldwide
Brachyteles arachnoides, Toxoplasmosis, Brazil
Bradypus tridactylus, Mayaro, French Guiana
Bradypus tridactylus, Oropouche, Worldwide
Bradypus tridactylus, Oropouche, Brazil
Bradypus tridactylus, Q-fever, French Guiana
Bradypus tridactylus, St. Louis encephalitis, French Guiana
Bradypus tridactylus, Toxoplasmosis, Brazil
Bradypus tridactylus, Yellow fever, French Guiana
Bradypus variegatus, Leishmaniasis - mucocutaneous, Brazil
Bradypus variegatus, Phleboviruses - New World, Panama
Bradypus variegatus, Trypanosomiasis - American, Worldwide
Bradypus variegatus, Trypanosomiasis - American, Panama
Bubalus bubalis, Brucellosis, Italy
Bubalus bubalis, Brucellosis, Trinidad and Tobago
Bubalus bubalis, Cryptosporidiosis, Australia
Bubalus bubalis, Cryptosporidiosis, Italy
Bubalus bubalis, Echinococcosis - unilocular, Italy
Bubalus bubalis, Escherichia coli diarrhea, Italy
Bubalus bubalis, Fascioliasis, Egypt
Bubalus bubalis, Fascioliasis, Philippines
Bubalus bubalis, Fascioliasis, Thailand
Bubalus bubalis, Mammomonogamiasis, Brazil
Bubalus bubalis, Schistosomiasis - japonicum, Philippines
Bubalus bubalis, Toxoplasmosis, Iran
Bubalus bubalis, Toxoplasmosis, Trinidad and Tobago
Bubalus bubalis, Toxoplasmosis, Turkey
Bubalus bubalis, Trypanosomiasis - African, Pakistan
Bubalus bubalis, Trypanosomiasis - African, Philippines
Bubalus bubalis, Tuberculosis, Brazil
Bubalus bubalis, Vaccinia and cowpox, Worldwide
Bubalus bubalis, Vaccinia and cowpox, Bangladesh
Bubalus bubalis, Vaccinia and cowpox, Egypt
Bubalus bubalis, Vaccinia and cowpox, India
Bubalus bubalis, Vaccinia and cowpox, Indonesia (Synonym: Bali)
Bubalus bubalis, Vaccinia and cowpox, Italy
Bubalus bubalis, Vaccinia and cowpox, Pakistan
Bubalus bubalis, Vaccinia and cowpox, Russian Federation
Budorcas taxicolor, Brucellosis, China
Budorcas taxicolor, Cryptosporidiosis, China
Budorcas taxicolor, Giardiasis, Worldwide
Budorcas taxicolor, Giardiasis, China
Budorcas taxicolor, Microsporidiosis, Worldwide
Budorcas taxicolor, Microsporidiosis, China
Callicebus cupreus, Adenovirus infection, United States
Callicebus oenanthe, Bertiella and Inermicapsifer, Worldwide
Callicebus oenanthe, Bertiella and Inermicapsifer, Peru
Callimico goeldii, Echinococcosis - multilocular, Worldwide
Callimico goeldii, Echinococcosis - multilocular, Canada
Callithrix jacchus, Ilheus and Bussuquara, Brazil
Callithrix jacchus, Rabies, Brazil
Callithrix jacchus, Gongylonemiasis, Germany
Callithrix jacchus, Herpes simplex infection, Worldwide
Callithrix jacchus, Tularemia, Germany
Callithrix jacchus, Zika, Worldwide
Callithrix jacchus, Zika, Brazil
Callithrix penicillata, Ilheus and Bussuquara, Brazil
Callithrix penicillata, Brucellosis, Brazil
Callithrix penicillata, Leptospirosis, Brazil
Callithrix penicillata, Toxoplasmosis, Brazil
Callorhinus ursinus, Diphyllobothriasis, United States
Callorhinus ursinus, Q-fever, United States
Callosciurus finlaysonii, Cryptococcosis, Italy
Callosciurus prevostii, Echinococcosis - multilocular, Switzerland
Calomys callosus, Bolivian hemorrhagic fever, Worldwide
Calomys callosus, Bolivian hemorrhagic fever,
Calomys callosus, Bolivian hemorrhagic fever, Bolivia
Calomys callosus, Hantavirus pulmonary syndrome, Argentina
Calomys callosus, Hantavirus pulmonary syndrome, Bolivia
Calomys callosus, Plague, Brazil
Calomys laucha, Hantavirus pulmonary syndrome, Paraguay
Calomys laucha, Hantavirus pulmonary syndrome, Bolivia
Calomys musculinus, Argentine hemorrhagic fever, Argentina
Calomys musculinus, Argentine hemorrhagic fever,
Calomys musculinus, Argentine hemorrhagic fever, Worldwide
Calomys tener, Hantavirus pulmonary syndrome, Brazil
Calomys tener, Hantavirus pulmonary syndrome, Worldwide
Caluromys derbianus, Trypanosomiasis - American, Worldwide
Caluromys derbianus, Trypanosomiasis - American, Panama
Caluromys philander, Mayaro, French Guiana
Caluromys philander, Trypanosomiasis - American, Worldwide
Caluromys philander, Trypanosomiasis - American, Panama
Camelus bactrianus, Toxoplasmosis, China
Camelus dromedarius, Echinococcosis - unilocular, Iran
Camelus dromedarius, Anaplasmosis, Canary Islands
Camelus dromedarius, Anaplasmosis, Tunisia
Camelus dromedarius, Brucellosis, Canary Islands
Camelus dromedarius, Brucellosis, Ethiopia
Camelus dromedarius, Brucellosis, Kenya
Camelus dromedarius, Brucellosis, Somalia
Camelus dromedarius, Cryptosporidiosis, Iran
Camelus dromedarius, Echinococcosis - unilocular, Libya
Camelus dromedarius, Echinococcosis - unilocular, Mali
Camelus dromedarius, Glanders, Worldwide
Camelus dromedarius, Gongylonemiasis, Iran
Camelus dromedarius, Pentastomiasis - Linguatula, Iran
Camelus dromedarius, Pythiosis, United States
Camelus dromedarius, Q-fever, Canary Islands
Camelus dromedarius, Q-fever, Kenya
Camelus dromedarius, Rift Valley fever, Canary Islands
Camelus dromedarius, Rift Valley fever, Morocco
Camelus dromedarius, Salmonellosis, Ethiopia
Camelus dromedarius, Sarcocystosis, Ethiopia
Camelus dromedarius, Toxoplasmosis, Canary Islands
Camelus dromedarius, Toxoplasmosis, Ethiopia
Camelus dromedarius, Toxoplasmosis, Saudi Arabia
Camelus dromedarius, Trichostrongyliasis, Ethiopia
Camelus dromedarius, Trypanosomiasis - African, Egypt
Camelus dromedarius, West Nile fever, Canary Islands
Camelus dromedarius, West Nile fever, Morocco
Canis adustus, Rabies, Zimbabwe
Canis adustus, Leptospirosis, Sudan
Canis aureus, Toxocariasis, Hungary
Canis aureus, Toxocariasis, Tunisia
Canis aureus, Echinococcosis - unilocular, Tunisia
Canis aureus, Acanthocephalan infections, Tunisia
Canis aureus, Anaplasmosis, Israel
Canis aureus, Bartonellosis - other systemic, Israel
Canis aureus, Brucellosis, Serbia and Montenegro
Canis aureus, Dipylidiasis, Hungary
Canis aureus, Dipylidiasis, Tunisia
Canis aureus, Dirofilariasis, Worldwide
Canis aureus, Dirofilariasis, Hungary
Canis aureus, Dirofilariasis, Iran
Canis aureus, Dirofilariasis, Romania
Canis aureus, Echinococcosis - multilocular, Worldwide
Canis aureus, Echinococcosis - multilocular, Hungary
Canis aureus, Echinococcosis - multilocular, Tunisia
Canis aureus, Echinococcosis - unilocular, Hungary
Canis aureus, Giardiasis, Croatia
Canis aureus, Leishmaniasis - cutaneous, Israel
Canis aureus, Leishmaniasis - visceral, Algeria
Canis aureus, Leishmaniasis - visceral, Iran
Canis aureus, Leishmaniasis - visceral, Kazakhstan
Canis aureus, Leishmaniasis - visceral, Serbia and Montenegro
Canis aureus, Metagonimiasis, Serbia and Montenegro
Canis aureus, Rabies, Israel
Canis aureus, Spotted fevers - Old World, Denmark
Canis aureus, Thelaziasis, Romania
